"Title","Internet retail sales, £ millions. All retailing"
"CDID","JE2J"
"Source dataset ID","DRSI"
"PreUnit","£"
"Unit","m"
"Release date","17-11-2023"
"Next release","22 December 2023"
"Important notes",
"2016 MAY","890.5"
"2016 JUN","898.5"
"2016 JUL","894.2"
"2016 AUG","879.6"
"2016 SEP","960.5"
"2016 OCT","1076.8"
"2016 NOV","1460.5"
"2016 DEC","1505.6"
"2017 JAN","992.4"
"2017 FEB","949.0"
"2017 MAR","1009.1"
"2017 APR","1042.7"
"2017 MAY","1043.1"
"2017 JUN","1078.9"
"2017 JUL","1074.4"
"2017 AUG","1046.7"
"2017 SEP","1090.7"
"2017 OCT","1179.7"
"2017 NOV","1608.4"
"2017 DEC","1641.6"
"2018 JAN","1126.9"
"2018 FEB","1093.9"
"2018 MAR","1175.7"
"2018 APR","1178.2"
"2018 MAY","1264.2"
"2018 JUN","1248.2"
"2018 JUL","1246.2"
"2018 AUG","1192.9"
"2018 SEP","1219.0"
"2018 OCT","1332.9"
"2018 NOV","1816.9"
"2018 DEC","1854.6"
"2019 JAN","1278.7"
"2019 FEB","1243.2"
"2019 MAR","1345.2"
"2019 APR","1348.1"
"2019 MAY","1378.3"
"2019 JUN","1353.8"
"2019 JUL","1423.8"
"2019 AUG","1331.0"
"2019 SEP","1321.8"
"2019 OCT","1450.4"
"2019 NOV","1809.4"
"2019 DEC","2077.4"
"2020 JAN","1388.6"
"2020 FEB","1324.1"
"2020 MAR","1528.3"
"2020 APR","1809.4"
"2020 MAY","2199.1"
"2020 JUN","2358.0"
"2020 JUL","2215.1"
"2020 AUG","2065.0"
"2020 SEP","2058.0"
"2020 OCT","2393.7"
"2020 NOV","3349.2"
"2020 DEC","3025.4"
"2021 JAN","2532.7"
"2021 FEB","2514.4"
"2021 MAR","2592.2"
"2021 APR","2425.9"
"2021 MAY","2317.2"
"2021 JUN","2286.2"
"2021 JUL","2249.0"
"2021 AUG","2159.8"
"2021 SEP","2196.4"
"2021 OCT","2406.9"
"2021 NOV","3102.4"
"2021 DEC","3065.3"
"2022 JAN","2271.4"
"2022 FEB","2127.1"
"2022 MAR","2094.2"
"2022 APR","2179.0"
"2022 MAY","2125.1"
"2022 JUN","2083.5"
"2022 JUL","2108.2"
"2022 AUG","1967.6"
"2022 SEP","2016.2"
"2022 OCT","2233.3"
"2022 NOV","2899.6"
"2022 DEC","2840.6"
"2023 JAN","2117.4"
"2023 FEB","2079.6"
"2023 MAR","2179.6"
"2023 APR","2237.2"
"2023 MAY","2274.9"
"2023 JUN","2237.1"
"2023 JUL","2318.0"
"2023 AUG","2162.9"
"2023 SEP","2161.4"
"2023 OCT","2354.0"
